model,arm,kind,source_file,size_bytes,size_mb_decimal,sha256,model_revision
ThakiCloud/SKILLRET-Edge-22M,f32 (as published),serialized_f32,model.safetensors,90864192,90.864,3660e0e3b9f44cc79716daecb2877dd4a4abf858225581372181d9c13d809d43,3b56a7f354d189e3893454e442854e9e464c147e
ThakiCloud/SKILLRET-Edge-22M,int4/g16-asym,packed_quantized,model-int4-g16.bin,17011584,17.012,07d8dce10b35832d35a98a31b581df662ab659197f461aed67725e730efda3c4,3b56a7f354d189e3893454e442854e9e464c147e
ThakiCloud/SKILLRET-Edge-22M,fp16,serialized_fp16,model.safetensors,45437728,45.438,634a268eb5706f8712168bf859f79db62070ce3e716c1398adfeaed5beeb0891,3b56a7f354d189e3893454e442854e9e464c147e
ThakiCloud/SKILLRET-Edge-22M,int3/g16,packed_quantized,model-int3-g16.bin,14176320,14.176,40760c0abfc6d68fad178bc0f7d28f1648e2d11b1be982506bb25d1161c20f84,3b56a7f354d189e3893454e442854e9e464c147e
ThakiCloud/SKILLRET-Edge-109M,f32 (as published),serialized_f32,model.safetensors,437951328,437.951,e35d696210c8799bd2adb0e9b0e88aa5f9d7c7eca226e485c76a34da97a6923f,c74ea584e90017713b9398c7193353ad001abd22
ThakiCloud/SKILLRET-Edge-109M,int4/g16-asym,packed_quantized,model-int4-g16.bin,82020096,82.02,e0b5dd3e426dacac007938915e6e6e2f80a30e1ffe21b21165b1ac2ff01e184c,c74ea584e90017713b9398c7193353ad001abd22
ThakiCloud/SKILLRET-Edge-109M,fp16,serialized_fp16,model.safetensors,218986696,218.987,1e15782ced9c7a28766cdc401961fe03dc744d97e96a16bb9401e6119fb6fa35,c74ea584e90017713b9398c7193353ad001abd22
ThakiCloud/SKILLRET-Edge-109M,int3/g16,packed_quantized,model-int3-g16.bin,68350080,68.35,98cf6b652e6c5b6f5eb395c6e5397484150127e244b32b65d0033d5b1c9654ee,c74ea584e90017713b9398c7193353ad001abd22
ThakiCloud/SKILLRET-Edge-109M,int3/g32,packed_quantized,model-int3-g32.bin,54680064,54.68,33187470e335a904625d24530639f5b7b1edb147d7ce10c20001c395e827667a,c74ea584e90017713b9398c7193353ad001abd22
ThakiCloud/SKILLRET-Embedding-0.6B,bf16 (as published),serialized_bf16,model.safetensors,1191586416,1191.586,f73118cac018ffa7ebb5a1ffbdf82034490dfb7f2559558f1e79277f1e8de172,c5b550f3f4febab17016f5239557b4d43808b249
ThakiCloud/SKILLRET-Embedding-0.6B,int3/g16,packed_quantized,model-int3-g16.bin,372319360,372.319,ee9a8affa1bfd86fa75d5db8ead47fcbea3c03bd073ea0c47a2c1d43eaabf554,c5b550f3f4febab17016f5239557b4d43808b249
ThakiCloud/SKILLRET-Embedding-0.6B,fp16,serialized_fp16,model.safetensors,1191586080,1191.586,2778fdbf8f18e24fd63e1c91bc4d4f265a4038d8ab2c09aa4c962afe381f9d2e,c5b550f3f4febab17016f5239557b4d43808b249
ThakiCloud/SKILLRET-Embedding-0.6B,int3/g32,packed_quantized,model-int3-g32.bin,297855488,297.855,9333fe00b343657e4c692a6f462c847ff0848130776498523aae5146eea431a5,c5b550f3f4febab17016f5239557b4d43808b249
